key_id,tournament_id,tournament_name,stage_number,stage_name,group_name,position,team_id,team_name,team_code,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
1,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 1,1,T-03,Argentina,ARG,3,3,0,0,10,4,6,6,1
2,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 1,2,T-13,Chile,CHL,3,2,0,1,5,3,2,4,0
3,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 1,3,T-30,France,FRA,3,1,0,2,4,3,1,2,0
4,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 1,4,T-46,Mexico,MEX,3,0,0,3,4,13,-9,0,0
5,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 2,1,T-87,Yugoslavia,YUG,2,2,0,0,6,1,5,4,1
6,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 2,2,T-09,Brazil,BRA,2,1,0,1,5,2,3,2,0
7,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 2,3,T-07,Bolivia,BOL,2,0,0,2,0,8,-8,0,0
8,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 3,1,T-84,Uruguay,URY,2,2,0,0,5,0,5,4,1
9,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 3,2,T-61,Romania,ROU,2,1,0,1,3,5,-2,2,0
10,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 3,3,T-56,Peru,PER,2,0,0,2,1,4,-3,0,0
11,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 4,1,T-83,United States,USA,2,2,0,0,6,0,6,4,1
12,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 4,2,T-55,Paraguay,PRY,2,1,0,1,1,3,-2,2,0
13,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 4,3,T-06,Belgium,BEL,2,0,0,2,0,4,-4,0,0
14,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 1,1,T-09,Brazil,BRA,3,2,1,0,8,2,6,5,1
15,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 1,2,T-87,Yugoslavia,YUG,3,2,0,1,7,3,4,4,0
16,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 1,3,T-75,Switzerland,CHE,3,1,1,1,4,6,-2,3,0
17,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 1,4,T-46,Mexico,MEX,3,0,0,3,2,10,-8,0,0
18,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 2,1,T-73,Spain,ESP,3,3,0,0,6,1,5,6,1
19,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 2,2,T-28,England,ENG,3,1,0,2,2,2,0,2,0
20,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 2,3,T-13,Chile,CHL,3,1,0,2,5,6,-1,2,0
21,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 2,4,T-83,United States,USA,3,1,0,2,4,8,-4,2,0
22,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 3,1,T-74,Sweden,SWE,2,1,1,0,5,4,1,3,1
23,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 3,2,T-41,Italy,ITA,2,1,0,1,4,3,1,2,0
24,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 3,3,T-55,Paraguay,PRY,2,0,1,1,2,4,-2,1,0
25,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 4,1,T-84,Uruguay,URY,1,1,0,0,8,0,8,2,1
26,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 4,2,T-07,Bolivia,BOL,1,0,0,1,0,8,-8,0,0
27,WC-1950,1950 FIFA Men's World Cup,2,final round,Group 1,1,T-84,Uruguay,URY,3,2,1,0,7,5,2,5,1
28,WC-1950,1950 FIFA Men's World Cup,2,final round,Group 1,2,T-09,Brazil,BRA,3,2,0,1,14,4,10,4,0
29,WC-1950,1950 FIFA Men's World Cup,2,final round,Group 1,3,T-74,Sweden,SWE,3,1,0,2,6,11,-5,2,0
30,WC-1950,1950 FIFA Men's World Cup,2,final round,Group 1,4,T-73,Spain,ESP,3,0,1,2,4,11,-7,1,0
31,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 1,1,T-09,Brazil,BRA,2,1,1,0,6,1,5,3,1
32,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 1,2,T-87,Yugoslavia,YUG,2,1,1,0,2,1,1,3,1
33,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 1,3,T-30,France,FRA,2,1,0,1,3,3,0,2,0
34,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 1,4,T-46,Mexico,MEX,2,0,0,2,2,8,-6,0,0
35,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 2,1,T-36,Hungary,HUN,2,2,0,0,17,3,14,4,1
36,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 2,2,T-86,West Germany,DEU,2,1,0,1,7,9,-2,2,1
37,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 2,3,T-80,Turkey,TUR,2,1,0,1,8,4,4,2,0
38,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 2,4,T-71,South Korea,KOR,2,0,0,2,0,16,-16,0,0
39,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 3,1,T-84,Uruguay,URY,2,2,0,0,9,0,9,4,1
40,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 3,2,T-05,Austria,AUT,2,2,0,0,6,0,6,4,1
41,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 3,3,T-21,Czechoslovakia,CSK,2,0,0,2,0,7,-7,0,0
42,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 3,4,T-64,Scotland,SCO,2,0,0,2,0,8,-8,0,0
43,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 4,1,T-28,England,ENG,2,1,1,0,6,4,2,3,1
44,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 4,2,T-75,Switzerland,CHE,2,1,0,1,2,3,-1,2,1
45,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 4,3,T-41,Italy,ITA,2,1,0,1,5,3,2,2,0
46,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 4,4,T-06,Belgium,BEL,2,0,1,1,5,8,-3,1,0
47,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 1,1,T-86,West Germany,DEU,3,1,2,0,7,5,2,4,1
48,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 1,2,T-52,Northern Ireland,NIR,3,1,1,1,4,5,-1,3,1
49,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 1,3,T-21,Czechoslovakia,CSK,3,1,1,1,8,4,4,3,0
50,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 1,4,T-03,Argentina,ARG,3,1,0,2,5,10,-5,2,0
51,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 2,1,T-30,France,FRA,3,2,0,1,11,7,4,4,1
52,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 2,2,T-87,Yugoslavia,YUG,3,1,2,0,7,6,1,4,1
53,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 2,3,T-55,Paraguay,PRY,3,1,1,1,9,12,-3,3,0
54,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 2,4,T-64,Scotland,SCO,3,0,1,2,4,6,-2,1,0
55,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 3,1,T-74,Sweden,SWE,3,2,1,0,5,1,4,5,1
56,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 3,2,T-85,Wales,WAL,3,0,3,0,2,2,0,3,1
57,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 3,3,T-36,Hungary,HUN,3,1,1,1,6,3,3,3,0
58,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 3,4,T-46,Mexico,MEX,3,0,1,2,1,8,-7,1,0
59,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 4,1,T-09,Brazil,BRA,3,2,1,0,5,0,5,5,1
60,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 4,2,T-72,Soviet Union,SUN,3,1,1,1,4,4,0,3,1
61,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 4,3,T-28,England,ENG,3,0,3,0,4,4,0,3,0
62,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 4,4,T-05,Austria,AUT,3,0,1,2,2,7,-5,1,0
63,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 1,1,T-72,Soviet Union,SUN,3,2,1,0,8,5,3,5,1
64,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 1,2,T-87,Yugoslavia,YUG,3,2,0,1,8,3,5,4,1
65,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 1,3,T-84,Uruguay,URY,3,1,0,2,4,6,-2,2,0
66,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 1,4,T-16,Colombia,COL,3,0,1,2,5,11,-6,1,0
67,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 2,1,T-86,West Germany,DEU,3,2,1,0,4,1,3,5,1
68,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 2,2,T-13,Chile,CHL,3,2,0,1,5,3,2,4,1
69,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 2,3,T-41,Italy,ITA,3,1,1,1,3,2,1,3,0
70,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 2,4,T-75,Switzerland,CHE,3,0,0,3,2,8,-6,0,0
71,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 3,1,T-09,Brazil,BRA,3,2,1,0,4,1,3,5,1
72,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 3,2,T-21,Czechoslovakia,CSK,3,1,1,1,2,3,-1,3,1
73,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 3,3,T-46,Mexico,MEX,3,1,0,2,3,4,-1,2,0
74,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 3,4,T-73,Spain,ESP,3,1,0,2,2,3,-1,2,0
75,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 4,1,T-36,Hungary,HUN,3,2,1,0,8,2,6,5,1
76,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 4,2,T-28,England,ENG,3,1,1,1,4,3,1,3,1
77,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 4,3,T-03,Argentina,ARG,3,1,1,1,2,3,-1,3,0
78,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 4,4,T-10,Bulgaria,BGR,3,0,1,2,1,7,-6,1,0
79,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 1,1,T-28,England,ENG,3,2,1,0,4,0,4,5,1
80,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 1,2,T-84,Uruguay,URY,3,1,2,0,2,1,1,4,1
81,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 1,3,T-46,Mexico,MEX,3,0,2,1,1,3,-2,2,0
82,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 1,4,T-30,France,FRA,3,0,1,2,2,5,-3,1,0
83,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 2,1,T-86,West Germany,DEU,3,2,1,0,7,1,6,5,1
84,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 2,2,T-03,Argentina,ARG,3,2,1,0,4,1,3,5,1
85,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 2,3,T-73,Spain,ESP,3,1,0,2,4,5,-1,2,0
86,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 2,4,T-75,Switzerland,CHE,3,0,0,3,1,9,-8,0,0
87,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 3,1,T-58,Portugal,PRT,3,3,0,0,9,2,7,6,1
88,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 3,2,T-36,Hungary,HUN,3,2,0,1,7,5,2,4,1
89,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 3,3,T-09,Brazil,BRA,3,1,0,2,4,6,-2,2,0
90,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 3,4,T-10,Bulgaria,BGR,3,0,0,3,1,8,-7,0,0
91,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 4,1,T-72,Soviet Union,SUN,3,3,0,0,6,1,5,6,1
92,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 4,2,T-51,North Korea,PRK,3,1,1,1,2,4,-2,3,1
93,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 4,3,T-41,Italy,ITA,3,1,0,2,2,2,0,2,0
94,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 4,4,T-13,Chile,CHL,3,0,1,2,2,5,-3,1,0
95,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 1,1,T-72,Soviet Union,SUN,3,2,1,0,6,1,5,5,1
96,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 1,2,T-46,Mexico,MEX,3,2,1,0,5,0,5,5,1
97,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 1,3,T-06,Belgium,BEL,3,1,0,2,4,5,-1,2,0
98,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 1,4,T-27,El Salvador,SLV,3,0,0,3,0,9,-9,0,0
99,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 2,1,T-41,Italy,ITA,3,1,2,0,1,0,1,4,1
100,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 2,2,T-84,Uruguay,URY,3,1,1,1,2,1,1,3,1
101,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 2,3,T-74,Sweden,SWE,3,1,1,1,2,2,0,3,0
102,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 2,4,T-40,Israel,ISR,3,0,2,1,1,3,-2,2,0
103,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 3,1,T-09,Brazil,BRA,3,3,0,0,8,3,5,6,1
104,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 3,2,T-28,England,ENG,3,2,0,1,2,1,1,4,1
105,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 3,3,T-61,Romania,ROU,3,1,0,2,4,5,-1,2,0
106,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 3,4,T-21,Czechoslovakia,CSK,3,0,0,3,2,7,-5,0,0
107,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 4,1,T-86,West Germany,DEU,3,3,0,0,10,4,6,6,1
108,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 4,2,T-56,Peru,PER,3,2,0,1,7,5,2,4,1
109,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 4,3,T-10,Bulgaria,BGR,3,0,1,2,5,9,-4,1,0
110,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 4,4,T-47,Morocco,MAR,3,0,1,2,2,6,-4,1,0
111,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 1,1,T-24,East Germany,DDR,3,2,1,0,4,1,3,5,1
112,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 1,2,T-86,West Germany,DEU,3,2,0,1,4,1,3,4,1
113,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 1,3,T-13,Chile,CHL,3,0,2,1,1,2,-1,2,0
114,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 1,4,T-04,Australia,AUS,3,0,1,2,0,5,-5,1,0
115,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 2,1,T-87,Yugoslavia,YUG,3,1,2,0,10,1,9,4,1
116,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 2,2,T-09,Brazil,BRA,3,1,2,0,3,0,3,4,1
117,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 2,3,T-64,Scotland,SCO,3,1,2,0,3,1,2,4,0
118,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 2,4,T-88,Zaire,COD,3,0,0,3,0,14,-14,0,0
119,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 3,1,T-48,Netherlands,NLD,3,2,1,0,6,1,5,5,1
120,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 3,2,T-74,Sweden,SWE,3,1,2,0,3,0,3,4,1
121,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 3,3,T-10,Bulgaria,BGR,3,0,2,1,2,5,-3,2,0
122,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 3,4,T-84,Uruguay,URY,3,0,1,2,1,6,-5,1,0
123,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 4,1,T-57,Poland,POL,3,3,0,0,12,3,9,6,1
124,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 4,2,T-03,Argentina,ARG,3,1,1,1,7,5,2,3,1
125,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 4,3,T-41,Italy,ITA,3,1,1,1,5,4,1,3,0
126,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 4,4,T-34,Haiti,HTI,3,0,0,3,2,14,-12,0,0
127,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group A,1,T-48,Netherlands,NLD,3,3,0,0,8,0,8,6,1
128,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group A,2,T-09,Brazil,BRA,3,2,0,1,3,3,0,4,1
129,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group A,3,T-24,East Germany,DDR,3,0,1,2,1,4,-3,1,0
130,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group A,4,T-03,Argentina,ARG,3,0,1,2,2,7,-5,1,0
131,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group B,1,T-86,West Germany,DEU,3,3,0,0,7,2,5,6,1
132,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group B,2,T-57,Poland,POL,3,2,0,1,3,2,1,4,1
133,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group B,3,T-74,Sweden,SWE,3,1,0,2,4,6,-2,2,0
134,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group B,4,T-87,Yugoslavia,YUG,3,0,0,3,2,6,-4,0,0
135,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 1,1,T-41,Italy,ITA,3,3,0,0,6,2,4,6,1
136,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 1,2,T-03,Argentina,ARG,3,2,0,1,4,3,1,4,1
137,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 1,3,T-30,France,FRA,3,1,0,2,5,5,0,2,0
138,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 1,4,T-36,Hungary,HUN,3,0,0,3,3,8,-5,0,0
139,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 2,1,T-57,Poland,POL,3,2,1,0,4,1,3,5,1
140,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 2,2,T-86,West Germany,DEU,3,1,2,0,6,0,6,4,1
141,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 2,3,T-79,Tunisia,TUN,3,1,1,1,3,2,1,3,0
142,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 2,4,T-46,Mexico,MEX,3,0,0,3,2,12,-10,0,0
143,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 3,1,T-05,Austria,AUT,3,2,0,1,3,2,1,4,1
144,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 3,2,T-09,Brazil,BRA,3,1,2,0,2,1,1,4,1
145,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 3,3,T-73,Spain,ESP,3,1,1,1,2,2,0,3,0
146,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 3,4,T-74,Sweden,SWE,3,0,1,2,1,3,-2,1,0
147,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 4,1,T-56,Peru,PER,3,2,1,0,7,2,5,5,1
148,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 4,2,T-48,Netherlands,NLD,3,1,1,1,5,3,2,3,1
149,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 4,3,T-64,Scotland,SCO,3,1,1,1,5,6,-1,3,0
150,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 4,4,T-38,Iran,IRN,3,0,1,2,2,8,-6,1,0
151,WC-1978,1978 FIFA Men's World Cup,2,second group stage,Group A,1,T-48,Netherlands,NLD,3,2,1,0,9,4,5,5,1
152,WC-1978,1978 FIFA Men's World Cup,2,second group stage,Group A,2,T-41,Italy,ITA,3,1,1,1,2,2,0,3,1
153,WC-1978,1978 FIFA Men's World Cup,2,second group stage,Group A,3,T-86,West Germany,DEU,3,0,2,1,4,5,-1,2,0
154,WC-1978,1978 FIFA Men's World Cup,2,second group stage,Group A,4,T-05,Austria,AUT,3,1,0,2,4,8,-4,2,0
155,WC-1978,1978 FIFA Men's World Cup,2,second group stage,Group B,1,T-03,Argentina,ARG,3,2,1,0,8,0,8,5,1
